sensor_index,last_modified,date_created,last_seen,name,location_type,model,hardware,led_brightness,firmware_version,rssi,uptime,pa_latency,memory,position_rating,channel_state,channel_flags,channel_flags_manual,channel_flags_auto,confidence,humidity,temperature,pressure,analog_input,pm1.0,pm2.5,pm2.5_alt,pm10.0,pm2.5_10minute,pm2.5_30minute,pm2.5_60minute,pm2.5_6hour,pm2.5_24hour,pm2.5_1week,scattering_coefficient,deciviews,visual_range,0.3_um_count,0.5_um_count,1.0_um_count,2.5_um_count,5.0_um_count,10.0_um_count,pm1.0_cf_1,pm1.0_atm,pm2.5_atm,pm2.5_cf_1,pm10.0_atm,pm10.0_cf_1
125375,1638817879,1630622423,1680120500,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-65,20453,230,16176,5,1,0,0,0,30,23,79,996.15,0,0,0,0.4,0,0,0,0,0.2,0.7,0.8,1.4,1.6,332.5,96,23,4,0,0,0,0,0,0,0,0,0
125385,1638822298,1630622481,1680120408,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-55,44006,238,16064,5,1,0,0,0,30,40,60,995.79,0,0,1.1,1.4,1.1,1,0.9,0.8,1.1,2.2,2.3,2.7,2.8,293.8,182,59,17,0,0,0,0,0,1.1,1.1,1.1,1.1
127669,1663263794,1631732782,1680120466,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-77,44164,226,15864,5,3,0,0,0,100,null,null,null,0.03,0,0,0,0,0,0,0,0.4,0.9,1.4,0,0,388.6,7,6,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680120500,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-65,20453,230,16176,5,1,0,0,0,30,23,79,996.15,0,0,0,0.4,0,0,0,0,0.2,0.7,0.8,1.4,1.6,332.5,96,23,4,0,0,0,0,0,0,0,0,0
125385,1638822298,1630622481,1680120528,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-56,44008,236,16064,5,1,0,0,0,30,40,60,995.9,0,0,0.4,1,0.6,0.9,0.8,0.8,1.1,2.2,2.3,2.4,2.5,302.8,160,51,11,0,0,0,0,0,0.4,0.4,0.6,0.6
127669,1663263794,1631732782,1680120466,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-77,44164,226,15864,5,3,0,0,0,100,null,null,null,0.03,0,0,0,0,0,0,0,0.4,0.9,1.4,0,0,388.6,7,6,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680120860,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-61,20459,224,16176,5,1,0,0,0,30,23,79,996.12,0,0,0,0.4,0.2,0,0,0,0.2,0.7,0.8,1.4,1.5,335.1,91,26,4,0,0,0,0,0,0,0,0.2,0.2
125385,1638822298,1630622481,1680120768,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-52,44012,241,16064,5,1,0,0,0,30,40,60,995.83,0,0.1,0.6,0.9,1.4,0.9,0.8,0.8,1.1,2.2,2.3,2.8,2.9,291.8,187,57,10,2,1,0,0.1,0.1,0.6,0.6,1.4,1.4
127669,1663263794,1631732782,1680120586,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-75,44166,247,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0,0,0,0,0,0.4,0.9,1.4,0.1,0.1,384.5,13,8,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680120860,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-61,20459,224,16176,5,1,0,0,0,30,23,79,996.12,0,0,0,0.4,0.2,0,0,0,0.2,0.7,0.8,1.4,1.5,335.1,91,26,4,0,0,0,0,0,0,0,0.2,0.2
125385,1638822298,1630622481,1680120888,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-54,44014,236,16064,5,1,0,0,0,30,40,60,995.84,0,0.2,0.4,1,0.9,0.8,0.8,0.8,1.1,2.2,2.3,2.5,2.7,299,169,52,10,0,0,0,0.2,0.2,0.4,0.4,0.9,0.9
127669,1663263794,1631732782,1680120826,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-76,44170,224,15808,5,3,0,0,0,100,null,null,null,0.03,0,0,0.1,0,0,0,0,0.4,0.9,1.4,0.1,0.1,384.5,13,10,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680120860,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-61,20459,224,16176,5,1,0,0,0,30,23,79,996.12,0,0,0,0.4,0.2,0,0,0,0.2,0.7,0.8,1.4,1.5,335.1,91,26,4,0,0,0,0,0,0,0,0.2,0.2
125385,1638822298,1630622481,1680120888,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-54,44014,236,16064,5,1,0,0,0,30,40,60,995.84,0,0.2,0.4,1,0.9,0.8,0.8,0.8,1.1,2.2,2.3,2.5,2.7,299,169,52,10,0,0,0,0.2,0.2,0.4,0.4,0.9,0.9
127669,1663263794,1631732782,1680120826,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-76,44170,224,15808,5,3,0,0,0,100,null,null,null,0.03,0,0,0.1,0,0,0,0,0.4,0.9,1.4,0.1,0.1,384.5,13,10,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680120860,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-61,20459,224,16176,5,1,0,0,0,30,23,79,996.12,0,0,0,0.4,0.2,0,0,0,0.2,0.7,0.8,1.4,1.5,335.1,91,26,4,0,0,0,0,0,0,0,0.2,0.2
125385,1638822298,1630622481,1680120888,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-54,44014,236,16064,5,1,0,0,0,30,40,60,995.84,0,0.2,0.4,1,0.9,0.8,0.8,0.8,1.1,2.2,2.3,2.5,2.7,299,169,52,10,0,0,0,0.2,0.2,0.4,0.4,0.9,0.9
127669,1663263794,1631732782,1680120826,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-76,44170,224,15808,5,3,0,0,0,100,null,null,null,0.03,0,0,0.1,0,0,0,0,0.4,0.9,1.4,0.1,0.1,384.5,13,10,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680120860,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-61,20459,224,16176,5,1,0,0,0,30,23,79,996.12,0,0,0,0.4,0.2,0,0,0,0.2,0.7,0.8,1.4,1.5,335.1,91,26,4,0,0,0,0,0,0,0,0.2,0.2
125385,1638822298,1630622481,1680120888,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-54,44014,236,16064,5,1,0,0,0,30,40,60,995.84,0,0.2,0.4,1,0.9,0.8,0.8,0.8,1.1,2.2,2.3,2.5,2.7,299,169,52,10,0,0,0,0.2,0.2,0.4,0.4,0.9,0.9
127669,1663263794,1631732782,1680120946,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-75,44172,259,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0,0,0,0,0,0.4,0.9,1.4,null,null,null,5,4,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680120980,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-63,20461,236,16176,5,1,0,0,0,30,23,79,996.09,0,0,0,0.4,0,0,0,0,0.2,0.7,0.8,1.3,1.4,338.8,84,24,3,0,0,0,0,0,0,0,0,0
125385,1638822298,1630622481,1680120888,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-54,44014,236,16064,5,1,0,0,0,30,40,60,995.84,0,0.2,0.4,1,0.9,0.8,0.8,0.8,1.1,2.2,2.3,2.5,2.7,299,169,52,10,0,0,0,0.2,0.2,0.4,0.4,0.9,0.9
127669,1663263794,1631732782,1680120946,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-75,44172,259,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0,0,0,0,0,0.4,0.9,1.4,null,null,null,5,4,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680121220,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-63,20465,240,16176,5,1,0,0,0,30,23,79,996.03,0,0,0,0.3,0,0,0,0,0.2,0.7,0.8,1.2,1.3,342,78,21,3,0,0,0,0,0,0,0,0,0
125385,1638822298,1630622481,1680121128,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-53,44018,502,16064,5,1,0,0,0,30,40,60,995.78,0,0,0.5,0.8,1.5,0.8,0.8,0.8,1.1,2.2,2.3,2.3,2.4,305.4,154,47,10,2,1,0,0,0,0.5,0.5,1.5,1.5
127669,1663263794,1631732782,1680121186,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-77,44176,239,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0,0,0,0,0,0.4,0.9,1.4,null,null,null,6,4,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680121220,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-63,20465,240,16176,5,1,0,0,0,30,23,79,996.03,0,0,0,0.3,0,0,0,0,0.2,0.7,0.8,1.2,1.3,342,78,21,3,0,0,0,0,0,0,0,0,0
125385,1638822298,1630622481,1680121248,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-53,44020,258,16064,5,1,0,0,0,30,40,60,995.78,0,0.1,0.4,0.8,0.6,0.7,0.8,0.8,1.1,2.2,2.3,2.3,2.4,305.8,153,47,9,1,0,0,0.1,0.1,0.4,0.4,0.6,0.6
127669,1663263794,1631732782,1680121307,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-77,44178,252,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0.1,0,0,0,0,0.4,0.9,1.4,null,null,null,15,14,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680121340,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-64,20467,246,16176,5,1,0,0,0,30,23,79,996.03,0,0,0,0.4,0.4,0,0,0,0.2,0.7,0.8,1.3,1.4,337.7,86,24,4,0,0,0,0,0,0,0,0.4,0.4
125385,1638822298,1630622481,1680121248,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-53,44020,258,16064,5,1,0,0,0,30,40,60,995.78,0,0.1,0.4,0.8,0.6,0.7,0.8,0.8,1.1,2.2,2.3,2.3,2.4,305.8,153,47,9,1,0,0,0.1,0.1,0.4,0.4,0.6,0.6
127669,1663263794,1631732782,1680121307,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-77,44178,252,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0.1,0,0,0,0,0.4,0.9,1.4,null,null,null,15,14,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680121340,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-64,20467,246,16176,5,1,0,0,0,30,23,79,996.03,0,0,0,0.4,0.4,0,0,0,0.2,0.7,0.8,1.3,1.4,337.7,86,24,4,0,0,0,0,0,0,0,0.4,0.4
125385,1638822298,1630622481,1680121368,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-54,44022,249,16064,5,1,0,0,0,30,40,60,995.82,0,0,0.6,1.1,1,0.7,0.8,0.8,1.1,2.2,2.3,2.6,2.7,297.8,172,54,14,2,0,0,0,0,0.6,0.6,1,1
127669,1663263794,1631732782,1680121307,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-77,44178,252,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0.1,0,0,0,0,0.4,0.9,1.4,null,null,null,15,14,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680121460,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-63,20469,273,16176,5,1,0,0,0,30,23,79,996.01,0,0,0,0.4,0,0,0,0,0.2,0.7,0.8,1.2,1.3,342.5,77,21,4,0,0,0,0,0,0,0,0,0
125385,1638822298,1630622481,1680121368,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-54,44022,249,16064,5,1,0,0,0,30,40,60,995.82,0,0,0.6,1.1,1,0.7,0.8,0.8,1.1,2.2,2.3,2.6,2.7,297.8,172,54,14,2,0,0,0,0,0.6,0.6,1,1
127669,1663263794,1631732782,1680121427,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-76,44180,266,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0,0,0,0,0,0.4,0.9,1.4,null,null,null,10,7,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680121460,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-63,20469,273,16176,5,1,0,0,0,30,23,79,996.01,0,0,0,0.4,0,0,0,0,0.2,0.7,0.8,1.2,1.3,342.5,77,21,4,0,0,0,0,0,0,0,0,0
125385,1638822298,1630622481,1680121488,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-53,44024,441,16064,5,1,0,0,0,30,40,60,995.81,0,0,0.5,0.8,0.6,0.7,0.8,0.8,1.1,2.2,2.3,2.2,2.3,308.8,146,43,9,0,0,0,0,0,0.5,0.5,0.6,0.6
127669,1663263794,1631732782,1680121427,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-76,44180,266,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0,0,0,0,0,0.4,0.9,1.4,null,null,null,10,7,0,0,0,0,0,0,0,0,0,0
125375,1638817879,1630622423,1680121580,InnovationCenterPurple - Dirty Lab,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-64,20471,249,16176,5,1,0,0,0,30,23,79,996.02,0,0,0,0.4,0,0,0,0,0.2,0.7,0.8,1.2,1.4,339.8,82,23,4,0,0,0,0,0,0,0,0,0
125385,1638822298,1630622481,1680121608,InnovationCenterPurple - Spider Shed,1,PA-I,2.0+BME280+PMSX003-A,35,7.02,-55,44026,249,16064,5,1,0,0,0,30,40,60,995.71,0,0,0.5,0.9,0.8,0.7,0.8,0.8,1.1,2.2,2.3,2.4,2.6,301.5,163,49,10,1,0,0,0,0,0.5,0.5,0.8,0.8
127669,1663263794,1631732782,1680121546,InnovationCenterPurple FLC - Outdoor,0,PA-II-SD,2.0+OPENLOG+15476 MB+DS3231+PMSX003-B+PMSX003-A,35,7.02,-72,44182,286,15976,5,3,0,0,0,100,null,null,null,0.03,0,0,0,0,0,0,0,0.4,0.9,1.4,0.1,0.1,384.5,9,5,0,0,0,0,0,0,0,0,0,0